date,police_station,daily_violations,7day_avg
2023-11-13,Banaswadi,14,9.8
2023-11-13,Basavanagudi,12,17.6
2023-11-13,Bellandur,74,36.2
2023-11-13,Byatarayanapura,3,9.8
2023-11-13,Chamarajpet,4,24.8
2023-11-13,Chikkabanavara,10,8.2
2023-11-13,Chikkajala,7,5.3
2023-11-13,City Market,65,56.0
2023-11-13,Cubbon Park,28,32.8
2023-11-13,Electronic City,86,30.5
2023-11-13,HAL Old Airport,73,39.6
2023-11-13,HSR Layout,44,81.0
2023-11-13,Halasur,13,13.0
2023-11-13,Halasuru Gate,35,23.4
2023-11-13,Hebbala,2,14.8
2023-11-13,Hennuru,4,5.5
2023-11-13,High ground,37,19.8
2023-11-13,Hulimavu,17,12.2
2023-11-13,J.P. Nagar,7,9.8
2023-11-13,Jalahalli,22,9.8
2023-11-13,Jayanagara,61,32.2
2023-11-13,Jeevanbheemanagar,7,34.0
2023-11-13,Jnanabharathi,9,10.2
2023-11-13,K.R. Pura,53,50.0
2023-11-13,K.S. Layout,2,11.2
2023-11-13,Kamakshipalya,21,14.7
2023-11-13,Kengeri,5,11.2
2023-11-13,Kodigehalli,80,61.5
2023-11-13,Magadi Road,86,95.8
2023-11-13,Mahadevapura,15,11.5
2023-11-13,Malleshwaram,107,146.8
2023-11-13,Mico Layout,3,8.8
2023-11-13,Peenya,2,5.5
2023-11-13,Pulikeshinagar(F.Town),40,23.2
2023-11-13,R.T. Nagar,1,1.5
2023-11-13,Rajajinagar,42,64.4
2023-11-13,Sadashivanagar,1,8.3
2023-11-13,Sheshadripuram,21,26.4
2023-11-13,Shivajinagar,146,195.8
2023-11-13,Thalagattapura,8,5.8
2023-11-13,Upparpet,279,230.6
2023-11-13,V.V.Puram (C.Pet),3,3.8
2023-11-13,Vijayanagara,33,79.2
2023-11-13,Whitefield,6,18.2
2023-11-13,Wilson Garden,11,13.6
2023-11-13,Yelahanka,50,52.0
2023-11-13,Yeshwanthpura,32,20.0
2023-11-14,Adugodi,6,13.2
2023-11-14,Ashok Nagar,46,29.8
2023-11-14,Banashankari,10,8.4
2023-11-14,Basavanagudi,20,18.0
2023-11-14,Bellandur,15,32.7
2023-11-14,Byatarayanapura,17,11.2
2023-11-14,Chamarajpet,19,23.8
2023-11-14,Chikkabanavara,30,11.8
2023-11-14,Chikkajala,26,10.5
2023-11-14,City Market,51,55.2
2023-11-14,Cubbon Park,39,34.0
2023-11-14,Devanahalli Airport,11,11.0
2023-11-14,Electronic City,28,30.0
2023-11-14,HAL Old Airport,57,42.5
2023-11-14,HSR Layout,70,78.2
2023-11-14,Halasur,14,13.2
2023-11-14,Halasuru Gate,118,39.2
2023-11-14,Hebbala,58,23.4
2023-11-14,Hennuru,4,5.2
2023-11-14,High ground,56,25.8
2023-11-14,Hulimavu,22,14.2
2023-11-14,J.P. Nagar,12,10.2
2023-11-14,Jalahalli,18,11.4
2023-11-14,Jayanagara,43,34.0
2023-11-14,Jeevanbheemanagar,36,34.4
2023-11-14,Jnanabharathi,13,10.8
2023-11-14,K.G. Halli,1,1.0
2023-11-14,K.R. Pura,44,49.0
2023-11-14,K.S. Layout,5,10.0
2023-11-14,Kamakshipalya,10,13.5
2023-11-14,Kengeri,7,10.4
2023-11-14,Kodigehalli,39,57.0
2023-11-14,Madiwala,5,5.6
2023-11-14,Magadi Road,139,104.4
2023-11-14,Mahadevapura,52,19.6
2023-11-14,Malleshwaram,119,142.2
2023-11-14,Mico Layout,23,11.6
2023-11-14,Peenya,4,5.2
2023-11-14,Pulikeshinagar(F.Town),23,23.2
2023-11-14,R.T. Nagar,5,2.2
2023-11-14,Rajajinagar,96,69.7
2023-11-14,Sadashivanagar,7,8.0
2023-11-14,Sheshadripuram,50,30.3
2023-11-14,Shivajinagar,155,189.0
2023-11-14,Thalagattapura,30,10.6
2023-11-14,Upparpet,403,259.3
2023-11-14,V.V.Puram (C.Pet),1,3.2
2023-11-14,Vijayanagara,81,79.5
2023-11-14,Whitefield,31,20.8
2023-11-14,Wilson Garden,27,15.8
2023-11-14,Yelahanka,16,44.8
2023-11-14,Yeshwanthpura,25,21.0
2023-11-15,Adugodi,10,12.7
2023-11-15,Ashok Nagar,29,29.7
2023-11-15,Banaswadi,18,11.4
2023-11-15,Basavanagudi,35,20.4
2023-11-15,Bellandur,47,34.7
2023-11-15,Byatarayanapura,10,11.0
2023-11-15,Chamarajpet,20,23.3
2023-11-15,Chikkabanavara,7,11.1
2023-11-15,Chikkajala,41,16.6
2023-11-15,City Market,102,61.9
2023-11-15,Cubbon Park,105,45.8
2023-11-15,Devanahalli Airport,15,13.0
2023-11-15,Electronic City,22,28.7
2023-11-15,HAL Old Airport,237,70.3
2023-11-15,HSR Layout,43,71.2
2023-11-15,Halasur,66,22.0
2023-11-15,Halasuru Gate,47,40.3
2023-11-15,Hebbala,17,22.3
2023-11-15,High ground,75,32.9
2023-11-15,Hulimavu,14,14.2
2023-11-15,J.P. Nagar,12,10.5
2023-11-15,Jalahalli,11,11.3
2023-11-15,Jayanagara,22,32.3
2023-11-15,Jeevanbheemanagar,36,34.7
2023-11-15,K.G. Halli,17,6.3
2023-11-15,K.R. Pura,52,49.4
2023-11-15,K.S. Layout,9,9.8
2023-11-15,Kamakshipalya,3,11.4
2023-11-15,Kengeri,10,10.3
2023-11-15,Kodigehalli,42,54.5
2023-11-15,Madiwala,1,4.8
2023-11-15,Magadi Road,58,96.7
2023-11-15,Mahadevapura,37,22.5
2023-11-15,Malleshwaram,158,144.4
2023-11-15,Mico Layout,18,12.7
2023-11-15,Peenya,14,6.7
2023-11-15,Pulikeshinagar(F.Town),46,27.0
2023-11-15,R.T. Nagar,9,3.3
2023-11-15,Rajajinagar,46,66.3
2023-11-15,Sadashivanagar,2,6.8
2023-11-15,Sheshadripuram,48,32.9
2023-11-15,Shivajinagar,260,199.1
2023-11-15,Thalagattapura,22,12.5
2023-11-15,Upparpet,351,272.4
2023-11-15,V.V.Puram (C.Pet),10,4.3
2023-11-15,Vijayanagara,171,92.6
2023-11-15,Whitefield,11,19.2
2023-11-15,Wilson Garden,11,15.1
2023-11-15,Yelahanka,63,47.8
2023-11-15,Yeshwanthpura,5,18.3
2023-11-16,Adugodi,16,13.1
2023-11-16,Ashok Nagar,54,33.1
2023-11-16,Banashankari,21,10.5
2023-11-16,Banaswadi,10,11.2
2023-11-16,Basavanagudi,47,23.3
2023-11-16,Bellandur,48,41.3
2023-11-16,Byatarayanapura,19,12.1
2023-11-16,Chamarajpet,22,23.6
2023-11-16,Chikkabanavara,7,12.0
2023-11-16,Chikkajala,13,16.0
2023-11-16,City Market,63,70.4
2023-11-16,Cubbon Park,56,47.3
2023-11-16,Devanahalli Airport,1,9.0
2023-11-16,Electronic City,38,30.0
2023-11-16,HAL Old Airport,133,88.4
2023-11-16,HSR Layout,41,66.2
2023-11-16,Halasur,70,28.9
2023-11-16,Halasuru Gate,39,45.3
2023-11-16,Hebbala,9,20.4
2023-11-16,Hennuru,2,4.7
2023-11-16,High ground,37,37.9
2023-11-16,Hulimavu,16,14.4
2023-11-16,J.P. Nagar,10,10.4
2023-11-16,Jalahalli,8,10.9
2023-11-16,Jayanagara,22,35.1
2023-11-16,Jeevanbheemanagar,57,37.9
2023-11-16,Jnanabharathi,11,10.8
2023-11-16,K.G. Halli,1,5.0
2023-11-16,K.R. Pura,13,51.0
2023-11-16,K.S. Layout,7,9.4
2023-11-16,Kamakshipalya,3,10.0
2023-11-16,Kengeri,3,9.3
2023-11-16,Kodigehalli,58,55.0
2023-11-16,Madiwala,5,4.9
2023-11-16,Magadi Road,70,92.9
2023-11-16,Mahadevapura,42,25.3
2023-11-16,Malleshwaram,157,163.9
2023-11-16,Mico Layout,51,18.1
2023-11-16,Peenya,4,6.3
2023-11-16,Pulikeshinagar(F.Town),35,28.1
2023-11-16,R.T. Nagar,6,3.7
2023-11-16,Rajajinagar,74,76.7
2023-11-16,Sadashivanagar,1,5.8
2023-11-16,Sheshadripuram,28,35.3
2023-11-16,Shivajinagar,249,233.7
2023-11-16,Thalagattapura,23,14.0
2023-11-16,Upparpet,331,317.6
2023-11-16,V.V.Puram (C.Pet),17,6.1
2023-11-16,Vijayanagara,47,96.6
2023-11-16,Whitefield,7,17.4
2023-11-16,Wilson Garden,10,16.3
2023-11-16,Yelahanka,12,42.7
2023-11-16,Yeshwanthpura,46,22.3
2023-11-17,Adugodi,19,14.7
2023-11-17,Ashok Nagar,35,34.1
2023-11-17,Banashankari,11,10.6
2023-11-17,Banaswadi,7,10.6
2023-11-17,Basavanagudi,45,28.6
2023-11-17,Bellandur,94,52.3
2023-11-17,Chamarajpet,33,25.7
2023-11-17,Chikkabanavara,6,11.7
2023-11-17,Chikkajala,41,19.6
2023-11-17,City Market,87,76.9
2023-11-17,Cubbon Park,32,48.6
2023-11-17,Electronic City,21,32.9
2023-11-17,HAL Old Airport,78,97.6
2023-11-17,HSR Layout,60,65.3
2023-11-17,Halasur,79,38.9
2023-11-17,Halasuru Gate,45,49.7
2023-11-17,Hebbala,11,19.4
2023-11-17,Hennuru,7,5.0
2023-11-17,High ground,93,50.1
2023-11-17,Hulimavu,27,17.9
2023-11-17,J.P. Nagar,12,11.4
2023-11-17,Jalahalli,21,12.1
2023-11-17,Jayanagara,23,35.9
2023-11-17,Jeevanbheemanagar,41,34.4
2023-11-17,Jnanabharathi,4,9.9
2023-11-17,K.G. Halli,3,4.6
2023-11-17,K.R. Pura,44,50.1
2023-11-17,K.S. Layout,2,5.1
2023-11-17,Kamakshipalya,22,11.7
2023-11-17,Kodigehalli,28,47.0
2023-11-17,Madiwala,2,5.0
2023-11-17,Magadi Road,46,83.4
2023-11-17,Mahadevapura,13,26.3
2023-11-17,Malleshwaram,104,150.9
2023-11-17,Mico Layout,15,19.0
2023-11-17,Peenya,11,7.0
2023-11-17,Pulikeshinagar(F.Town),19,28.7
2023-11-17,R.T. Nagar,6,4.4
2023-11-17,Rajajinagar,104,71.4
2023-11-17,Sadashivanagar,7,6.0
2023-11-17,Sheshadripuram,23,33.0
2023-11-17,Shivajinagar,654,315.3
2023-11-17,Thalagattapura,8,15.0
2023-11-17,Upparpet,409,342.9
2023-11-17,V.V.Puram (C.Pet),2,5.7
2023-11-17,Vijayanagara,199,115.6
2023-11-17,Whitefield,4,14.1
2023-11-17,Wilson Garden,17,16.7
2023-11-17,Yelahanka,37,41.6
2023-11-17,Yeshwanthpura,12,22.3
2023-11-18,Adugodi,46,20.0
2023-11-18,Ashok Nagar,28,36.0
2023-11-18,Banaswadi,32,14.7
2023-11-18,Basavanagudi,36,29.1
2023-11-18,Bellandur,26,46.0
2023-11-18,Byatarayanapura,105,24.9
2023-11-18,Chamarajpet,82,29.1
2023-11-18,Chikkabanavara,10,11.3
2023-11-18,Chikkajala,32,23.1
2023-11-18,City Market,84,76.4
2023-11-18,Cubbon Park,36,48.6
2023-11-18,Electronic City,28,35.4
2023-11-18,HAL Old Airport,105,100.4
2023-11-18,HSR Layout,24,63.4
2023-11-18,Halasur,20,39.1
2023-11-18,Halasuru Gate,83,56.0
2023-11-18,Hennuru,1,4.4
2023-11-18,High ground,75,57.9
2023-11-18,Hulimavu,4,16.7
2023-11-18,J.P. Nagar,8,11.6
2023-11-18,Jalahalli,11,13.4
2023-11-18,Jayanagara,24,33.1
2023-11-18,Jeevanbheemanagar,35,34.4
2023-11-18,Jnanabharathi,27,13.4
2023-11-18,K.G. Halli,3,4.3
2023-11-18,K.R. Pura,31,50.9
2023-11-18,K.S. Layout,1,4.1
2023-11-18,Kamakshipalya,4,11.4
2023-11-18,Kengeri,2,7.9
2023-11-18,Kodigehalli,37,47.4
2023-11-18,Madiwala,6,5.6
2023-11-18,Magadi Road,56,82.9
2023-11-18,Mahadevapura,62,33.4
2023-11-18,Malleshwaram,161,150.3
2023-11-18,Mico Layout,66,27.3
2023-11-18,No Police Station,6,6.0
2023-11-18,Peenya,8,7.6
2023-11-18,Pulikeshinagar(F.Town),24,29.6
2023-11-18,R.T. Nagar,4,4.6
2023-11-18,Rajajinagar,205,90.3
2023-11-18,Sadashivanagar,6,6.0
2023-11-18,Sheshadripuram,49,38.1
2023-11-18,Shivajinagar,678,361.3
2023-11-18,Thalagattapura,17,16.1
2023-11-18,Upparpet,250,339.6
2023-11-18,V.V.Puram (C.Pet),4,6.0
2023-11-18,Vijayanagara,85,110.1
2023-11-18,Whitefield,24,17.1
2023-11-18,Wilson Garden,28,19.0
2023-11-18,Yelahanka,31,34.3
2023-11-18,Yeshwanthpura,48,25.7
2023-11-19,Adugodi,19,17.7
2023-11-19,Ashok Nagar,13,36.4
2023-11-19,Banashankari,1,9.0
2023-11-19,Banaswadi,28,16.0
2023-11-19,Basavanagudi,30,32.1
2023-11-19,Bellandur,37,48.7
2023-11-19,Byatarayanapura,22,25.9
2023-11-19,Chamarajpet,6,26.6
2023-11-19,Chikkabanavara,1,10.1
2023-11-19,Chikkajala,42,28.9
2023-11-19,City Market,261,101.9
2023-11-19,Cubbon Park,37,47.6
2023-11-19,Devanahalli Airport,1,7.0
2023-11-19,Electronic City,21,34.9
2023-11-19,HAL Old Airport,83,109.4
2023-11-19,HSR Layout,38,45.7
2023-11-19,Halasur,41,43.3
2023-11-19,Halasuru Gate,37,57.7
2023-11-19,Hebbala,8,15.9
2023-11-19,Hennuru,14,5.6
2023-11-19,High ground,30,57.6
2023-11-19,Hulimavu,2,14.6
2023-11-19,J.P. Nagar,4,9.3
2023-11-19,Jalahalli,3,13.4
2023-11-19,Jayanagara,74,38.4
2023-11-19,Jeevanbheemanagar,53,37.9
2023-11-19,Jnanabharathi,10,11.6
2023-11-19,K.G. Halli,5,4.4
2023-11-19,K.R. Pura,86,46.1
2023-11-19,K.S. Layout,8,4.9
2023-11-19,Kamakshipalya,12,10.7
2023-11-19,Kengeri,5,5.1
2023-11-19,Kodigehalli,56,48.6
2023-11-19,Magadi Road,62,73.9
2023-11-19,Mahadevapura,34,36.4
2023-11-19,Malleshwaram,131,133.9
2023-11-19,Mico Layout,21,28.1
2023-11-19,Peenya,2,6.4
2023-11-19,Pulikeshinagar(F.Town),12,28.4
2023-11-19,R.T. Nagar,2,4.7
2023-11-19,Rajajinagar,81,92.6
2023-11-19,Sadashivanagar,11,5.0
2023-11-19,Sheshadripuram,19,34.0
2023-11-19,Shivajinagar,584,389.4
2023-11-19,Thalagattapura,22,18.6
2023-11-19,Upparpet,221,320.6
2023-11-19,V.V.Puram (C.Pet),4,5.9
2023-11-19,Vijayanagara,12,89.7
2023-11-19,Whitefield,4,12.4
2023-11-19,Wilson Garden,43,21.0
2023-11-19,Yelahanka,20,32.7
2023-11-19,Yeshwanthpura,19,26.7
2023-11-20,Adugodi,10,18.0
2023-11-20,Ashok Nagar,44,35.6
2023-11-20,Banashankari,13,9.3
2023-11-20,Banaswadi,16,17.9
2023-11-20,Basavanagudi,28,34.4
2023-11-20,Bellandur,46,44.7
2023-11-20,Byatarayanapura,28,29.1
2023-11-20,Chamarajpet,11,27.6
2023-11-20,Chikkabanavara,5,9.4
2023-11-20,Chikkajala,51,35.1
2023-11-20,City Market,42,98.6
2023-11-20,Cubbon Park,46,50.1
2023-11-20,Devanahalli Airport,11,7.8
2023-11-20,Electronic City,16,24.9
2023-11-20,HAL Old Airport,36,104.1
2023-11-20,HSR Layout,28,43.4
2023-11-20,Halasur,20,44.3
2023-11-20,Halasuru Gate,14,54.7
2023-11-20,Hennuru,7,5.6
2023-11-20,High ground,27,56.1
2023-11-20,Hulimavu,5,12.9
2023-11-20,J.P. Nagar,5,9.0
2023-11-20,Jalahalli,11,11.9
2023-11-20,Jayanagara,20,32.6
2023-11-20,Jeevanbheemanagar,8,38.0
2023-11-20,Jnanabharathi,8,11.7
2023-11-20,K.R. Pura,61,47.3
2023-11-20,K.S. Layout,3,5.0
2023-11-20,Kamakshipalya,1,7.9
2023-11-20,Kengeri,1,4.7
2023-11-20,Kodigehalli,98,51.1
2023-11-20,Madiwala,5,5.6
2023-11-20,Magadi Road,40,67.3
2023-11-20,Mahadevapura,25,37.9
2023-11-20,Malleshwaram,204,147.7
2023-11-20,Mico Layout,14,29.7
2023-11-20,Peenya,8,7.3
2023-11-20,Pulikeshinagar(F.Town),7,23.7
2023-11-20,R.T. Nagar,4,5.1
2023-11-20,Rajajinagar,37,91.9
2023-11-20,Sadashivanagar,10,6.3
2023-11-20,Sheshadripuram,14,33.0
2023-11-20,Shivajinagar,307,412.4
2023-11-20,Thalagattapura,8,18.6
2023-11-20,Upparpet,314,325.6
2023-11-20,V.V.Puram (C.Pet),5,6.1
2023-11-20,Vijayanagara,88,97.6
2023-11-20,Whitefield,14,13.6
2023-11-20,Wilson Garden,15,21.6
2023-11-20,Yelahanka,21,28.6
2023-11-20,Yeshwanthpura,5,22.9
2023-11-21,Adugodi,24,20.6
2023-11-21,Ashok Nagar,48,35.9
2023-11-21,Banashankari,31,13.3
2023-11-21,Banaswadi,5,16.6
2023-11-21,Basavanagudi,30,35.9
2023-11-21,Bellandur,20,45.4
2023-11-21,Byatarayanapura,5,29.4
2023-11-21,Chamarajpet,57,33.0
2023-11-21,Chikkabanavara,2,5.4
2023-11-21,Chikkajala,19,34.1
2023-11-21,City Market,133,110.3
2023-11-21,Cubbon Park,30,48.9
2023-11-21,Electronic City,10,22.3
2023-11-21,HAL Old Airport,180,121.7
2023-11-21,HSR Layout,32,38.0
2023-11-21,Halasur,29,46.4
2023-11-21,Halasuru Gate,49,44.9
2023-11-21,Hebbala,10,16.4
2023-11-21,Hennuru,4,5.6
2023-11-21,High ground,121,65.4
2023-11-21,Hulimavu,9,11.0
2023-11-21,J.P. Nagar,14,9.3
2023-11-21,Jalahalli,1,9.4
2023-11-21,Jayanagara,52,33.9
2023-11-21,Jeevanbheemanagar,23,36.1
2023-11-21,Jnanabharathi,7,11.4
2023-11-21,K.G. Halli,8,5.4
2023-11-21,K.R. Pura,55,48.9
2023-11-21,K.S. Layout,4,4.9
2023-11-21,Kamakshipalya,4,7.0
2023-11-21,Kengeri,12,5.7
2023-11-21,Kodigehalli,15,47.7
2023-11-21,Madiwala,9,4.7
2023-11-21,Magadi Road,104,62.3
2023-11-21,Malleshwaram,233,164.0
2023-11-21,Mico Layout,23,29.7
2023-11-21,No Police Station,1,3.5
2023-11-21,Peenya,7,7.7
2023-11-21,Pulikeshinagar(F.Town),13,22.3
2023-11-21,R.T. Nagar,3,4.9
2023-11-21,Rajajinagar,101,92.6
2023-11-21,Sadashivanagar,10,6.7
2023-11-21,Sheshadripuram,33,30.6
2023-11-21,Shivajinagar,100,404.6
2023-11-21,Thalagattapura,14,16.3
2023-11-21,Upparpet,326,314.6
2023-11-21,V.V.Puram (C.Pet),6,6.9
2023-11-21,Vijayanagara,48,92.9
2023-11-21,Whitefield,6,10.0
2023-11-21,Wilson Garden,36,22.9
2023-11-21,Yelahanka,32,30.9
2023-11-21,Yeshwanthpura,21,22.3
2023-11-22,Adugodi,16,21.4
2023-11-22,Ashok Nagar,34,36.6
2023-11-22,Banashankari,21,15.4
2023-11-22,Banaswadi,39,19.6
2023-11-22,Basavanagudi,41,36.7
2023-11-22,Bellandur,70,48.7
2023-11-22,Byatarayanapura,54,34.7
2023-11-22,Chamarajpet,19,32.9
2023-11-22,Chikkabanavara,3,4.9
2023-11-22,Chikkajala,16,30.6
2023-11-22,City Market,173,120.4
2023-11-22,Cubbon Park,48,40.7
2023-11-22,Devanahalli Airport,1,6.7
2023-11-22,Electronic City,9,20.4
2023-11-22,HAL Old Airport,86,100.1
2023-11-22,HSR Layout,53,39.4
2023-11-22,Halasur,26,40.7
2023-11-22,Halasuru Gate,96,51.9
2023-11-22,Hebbala,32,20.7
2023-11-22,Hennuru,8,6.1
2023-11-22,High ground,77,65.7
2023-11-22,Hulimavu,14,11.0
2023-11-22,J.P. Nagar,17,10.0
2023-11-22,Jalahalli,4,8.4
2023-11-22,Jayanagara,29,34.9
2023-11-22,Jeevanbheemanagar,35,36.0
2023-11-22,Jnanabharathi,9,10.9
2023-11-22,K.R. Pura,75,52.1
2023-11-22,K.S. Layout,15,5.7
2023-11-22,Kamakshipalya,22,9.7
2023-11-22,Kengeri,5,5.4
2023-11-22,Kodigehalli,38,47.1
2023-11-22,Madiwala,7,5.0
2023-11-22,Magadi Road,58,62.3
2023-11-22,Mahadevapura,19,33.1
2023-11-22,Malleshwaram,177,166.7
2023-11-22,Mico Layout,31,31.6
2023-11-22,No Police Station,4,3.7
2023-11-22,Peenya,3,6.1
2023-11-22,Pulikeshinagar(F.Town),6,16.6
2023-11-22,R.T. Nagar,11,5.1
2023-11-22,Rajajinagar,78,97.1
2023-11-22,Sadashivanagar,5,7.1
